Path,IPX IP Name,IPX Latest IPV
./models_v2/pytorch/maskrcnn/inference/cpu/maskrcnn-benchmark/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-maskrcnn-inference-cpu-maskrcnn-benchmark_src,8edfe928-8d85-4343-ac66-35bb4b2ff695
./models_v2/pytorch/maskrcnn/inference/cpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-maskrcnn-inference-cpu_src,012c5c52-c53e-4c19-bba4-3c67642e6a91
./models_v2/pytorch/maskrcnn/training/cpu/maskrcnn-benchmark/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-maskrcnn-training-cpu-maskrcnn-benchmark_src,59197b76-0009-463d-9234-f52a44747de6
./models_v2/pytorch/maskrcnn/training/cpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-maskrcnn-training-cpu_src,9227998e-e7aa-4f42-9678-5d5cdbe0cb05
./models_v2/pytorch/resnet50v1_5/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-resnet50v1_5-inference-gpu_src,3654d5d4-25fb-4ba2-a17a-b4c5da148710
./models_v2/pytorch/resnet50v1_5/training/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-resnet50v1_5-training-gpu_src,3e39d221-0e1e-487e-81df-78c23bff386d
./models_v2/pytorch/RIFE/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-RIFE-inference-gpu_src,99559ada-1695-420b-a65f-9e4a89fac6cd
./models_v2/pytorch/rnnt/inference/cpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-rnnt-inference-cpu_src,a8a7d1b1-6052-4bef-b42e-3687ed8dd31f
./models_v2/pytorch/rnnt/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-rnnt-inference-gpu_src,7ee8b3c4-26e1-4ce1-ab57-67fcec0bc386
./models_v2/pytorch/rnnt/training/cpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-rnnt-training-cpu_src,7384a6d6-5fb2-4d53-a379-29dbb69465ff
./models_v2/pytorch/rnnt/training/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-rnnt-training-gpu_src,1460a516-09f5-450b-9f33-889463e9c8e4
./models_v2/pytorch/ssd-mobilenetv1/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-ssd-mobilenetv1-inference-gpu_src,78f495f9-0ade-4d50-b432-80e6e341bed1
./models_v2/pytorch/stable_diffusion/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-stable_diffusion-inference-gpu_src,a47404e4-eb76-4670-8756-871dd9b4a5cc
./models_v2/pytorch/stable_diffusion/training/cpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-stable_diffusion-training-cpu_src,50d499f9-d3ae-44c3-a989-3d4bf2caeee9
./models_v2/pytorch/swin-transformer/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-swin-transformer-inference-gpu_src,d1b2bd2a-2423-40aa-ac73-603c8682c7a6
